"move","block","damage","stun","meter","cancel","startup","active","recover","frame_adv_block","frame_adv_hit"
"Close Light Punch ","HL ",40,50,20,"Sp*Su ",6,3,4,4,7
"Close Medium Punch ","HL ",85,100,40,"Sp*Su ",7,4,11,-1,2
"Close Hard Punch ","HL ",110,200,60,"- ",10,3,15,0,4
"Close Light Kick ","HL ","30*10 ","30*50 ","20*20 ","Sp*Su ",4,"1*3 ",9,-1,2
"Close Medium Kick ","HL ","60*60 ","50*50 ","40*40 ","Sp*Su ",7,"2*2 ",12,0,3
"Close Hard Kick ","HL ","80*40 ","100*100 ","60*20 ","Sp*Su ",5,"2*3 ",18,-3,1
"Far Light Punch ","HL ",40,50,20,"Sp*Su ",5,3,5,3,6
"Far Medium Punch ","HL ",90,100,40,"- ",10,4,9,1,4
"Far Hard Punch ","HL ",120,200,60,"- ",10,3,15,0,4
"Far Light Kick ","HL ","30*10 ","30*50 ","20*20 ","Sp*Su ",5,"1*3 ",9,-1,2
"Far Medium Kick ","HL ",80,100,40,"- ",9,3,11,0,3
"Far Hard Kick ","HL ","80*40 ","100*100 ","60*20 ","Su ",5,"2*3 ",18,-3,1
"Crouch Light Punch ","HL ",30,50,20,"Sp*Su ",3,2,9,0,3
"Crouch Medium Punch ","HL ",70,100,40,"Sp*Su ",5,3,10,1,4
"Crouch Hard Punch ","HL ",110,200,60,"- ",8,3,15,0,4
"Crouch Light Kick ","L ",30,50,20,"Sp*Su ",5,3,5,3,6
"Crouch Medium Kick ","L ",65,100,40,"Sp*Su ",7,3,15,-4,-1
"Crouch Hard Kick ","L ",100,100,60,"- ",8,3,21,-6,"D "
"Overhead Forward + Hard Punch ","H ",100,150,60,"- ",20,5,16,-3,2
"Forward + Light Kick ","L ",50,50,20,"Sp*Su ",16,3,16,-1,3
"Forward + Hard Kick ","HL ",100,200,60,"Sp*Su ",13,3,16,-1,3
"Fake Kick ","- ","- ","- ","- ","- ","- ","- ",16,"- ","- "
"Focus Attack Level 1 ","HL ",60,100,20,"- ",21,2,35,-21,-21
"Focus Attack Level 2 ","HL ",90,150,40,"- ",29,2,35,-15,"D "
"Focus Attack Level 3 ","- ",150,200,60,"- ",64,2,35,"D ","D "
"Focus Attack Level 1 (Dash Cancel) ","HL ",60,100,20,"- ",21,2,35,-2,-2
"Focus Attack Level 2 (Dash Cancel) ","HL ",90,150,40,"- ",29,2,35,4,"D "
"Forward Throw ",0.9,140,160,40,"- ",3,2,20,"- ","D "
"Back Throw ",0.9,140,120,40,"- ",3,2,20,"- ","D "
"Tiger Shot High ","HL ",65,100,"10/20/10","Su ",11,"- ",39,-2,2
"Tiger Shot High EX ","HL ","70*50 ","50*50 ","-250/0 ","Su ",11,"- ",39,1,"D "
"Tiger Shot Low ","HL ",60,100,"10/20/10","Su ",12,"- ",45,-7,-3
"Tiger Shot Low EX ","HL ","70*50 ","50*50 ","-250/0 ","Su ",12,"- ",45,-4,"D "
"Tiger Uppercut Light Punch ","HL ","100[130](AC140) ","200[100] ","30/40 ","Su ",5,8,"28+16 ",-31,"D "
"Tiger Uppercut Medium Punch ","HL ","100[140](AC160 ","200[100] ","30/40 ","Su ",5,10,"28+16 ",-33,"- "
"Tiger Uppercut Hard Punch ","HL ","100[160](AC180) ","200[100] ","30/40 ","Su ",5,12,"27+16 ",-34,"D "
"Tiger Uppercut EX ","HL ","120*20x4 ","150*20x4 ","-250/0 ","Su ",5,"5*2x4 ","30+17 ",-39,"D "
"Tiger Knee Light Kick ","HL ","90*30 ","100*100 ","20/16*16 ","Su ",7,"2*12 ","3+13 ",-10,"- "
"Tiger Knee Medium Kick ","HL ","100*40 ","100*100 ","20/16*16 ","Su ",7,"2*14 ","3+14 ",-13,"D "
"Tiger Knee Hard Kick ","HL ","110*50 ","100*100 ","20/16*16 ","Su ",7,"2*12 ","8+16 ",-18,"D "
"Tiger Knee EX ","HL ","100*40*40 ","100*50*50 ","-250/0 ","Su ",7,"3*6*6 ","3+10 ",-1,"D "
"Angry Scar ","- ","- ","- ","-250/- ","- ",1,"- ",13,"- ","- "
"Super Light Punch ","HL ","50x7 ",0,"-1000/0 ","- ",1,"3(1) 3(2) 3(16) 2(1) 3(1) 2(1) 2 ","43+14 ",-38,"D "
"Super Medium Punch ","HL ","50x7 ",0,"-1000/0 ","- ",2,"3(1) 3(2) 3(16) 2(1) 3(1) 2(1) 2 ","39+14 ",-34,"D "
"Super Hard Punch ","HL ","50x7 ",0,"-1000/0 ","- ",3,"3(1) 3(2) 3(16) 2(1) 3(1) 2(1) 2 ","45+15 ",-42,"D "
"Ultra 1 ","HL ","45x7*45x6 ",0,"0/0 ","- ",10,"5x4 (12) 3(2) 3 * 10 ","15+36 ",-48,"D "
"Ultra 2 ","- ","48x8 ",0,"0/0 ","- ",11,"- ",104,-25,"D "
