move,block,damage,stun,meter,cancel,startup,active,recovery,frame_adv_block,frame_adv_hit,Notes
"Stand LP",HL,40,50,20,-,4,3,6,+2,+5,,
"Stand MP",HL,80,100,40,-,5,3,10,+1,+4,,
"Stand HP",HL,80*40,100*100,60*20,-,8,3*2,17,-1,+3,,
"Stand LK",HL,40,50,20,-,4,3,6,+2,+5,,
"Stand MK",HL,60,100,40,-,6,3,12,-1,+2,,
"Stand HK",HL,120,200,60,-,12,4,17,-3,0,,
"crouch LP",HL,30,50,20,sp/su,4,3,8,0,+3,,
"crouch MP",HL,80,100,40,-,6,3,12,-1,+2,,
"crouch HP",HL,100,150,60,-,14,2,21,-5,-1,,
"crouch LK",L,30,50,20,-,4,3,9,0,+3,,
"crouch MK",L,70,100,40,sp/su,7,3,17,-6,-3,,
"crouch HK",L,110,200,60,-,7,3,26,-11,-,,
"Jump up LP",H,50,50,20,-,4,3,-,-,-,,
"Jump up MP",H,80,100,40,-,6,2,-,-,-,,
"Jump up HP",H,100,200,60,-,8,6,-,-,-,,
"Jump up LK",H,50,50,20,-,5,7,-,-,-,,
"Jump up MK",H,90,100,40,-,7,5,-,-,-,,
"Jump up HK",H,110,200,60,-,9,5,-,-,-,,
"Jump forward LP",H,50,50,20,-,5,6,-,-,-,,
"Jump forward MP",H,50,100,40,-,8,6,-,-,-,,
"Jump forward HP",H,100,200,60,-,8,11,-,-,-,,
"Jump forward LK",H,50,50,20,-,6,11,-,-,-,,
"Jump forward MK",H,80,100,40,-,7,8,-,-,-,,
"Jump forward HK",H,110,200,60,-,9,7,-,-,-,,
"Guard Position (Down+PunchPunchPunch)",-,-,-,-,-,-,-,30,-,-,,
"Hakan Smash (Right+LP)",HL,40,50,20,-,4,3,13,-2,+1,,
"Hakan Tackle (Right+MP)",HL,90,100,40,sp/su,10,7,14,-5,-2,,
"Hakan Spear (Right+HP)",HL,150,200,60,-,12,6,16,-4,0,,
"Step Low (Right+LK)",HL,40,50,20,sp/su,4,4,10,0,+3,,
"Front Kick (Right+MK)",HL,80,100,40,-,7,4,13,-3,0,,
"Step Knee (Right+HK)",L,120,200,60,-,10,3,20,-5,-1,,
"Focus Attack LVL1",HL,60,100,20,-,21,2,35,-21,-21,,
"Focus Attack LVL2",HL,80,150,40,-,17+12,2,35,-15,-,,
"Focus Attack LVL3",-,140,200,60,-,65,2,35,-,-,,
"Forward Throw",0.93,130,100,40,-,3,2,20,-,-,,
"Back Throw",0.93,140,100,40,-,3,2,20,-,-,,
"Air Throw",1.10,140,150,40,-,2,2,-,-,-,,
"Oil Shower LK",-,-,-,20/-,-,-,-,53,-,-,,
"Oil Shower MK",-,-,-,30/-,-,-,-,69,-,-,,
"Oil Shower HK",-,-,-,40/-,-,-,-,83,-,-,,
"Oil Shower EX",-,-,-,-250/-,-,-,-,83,-,-,,
"Oil Slide",L,???,100,30/30,su,9,21,17,-17,-,,
"Oil Slide EX",L,80,100,-250/0,su,14,21,17,-17,-,,
"Oil Slide Body Press",-,80,100,0/20,-,-,-,-,-,-,,
"Oil Rocket LP",0.97,???,100,40/100,-,3,2,56,-,-,,
"Oil Rocket EX",0.97,210[230],160,-250/0,-,3,2,56,-,-,,
"Oil Dive LK",2.43,150[180],100,40/60,-,14,4,14+52,-,-,,
"Oil Dive MK",2.66,180[200],150,40/60,-,20,4,14+52,-,-,,
"Oil Dive HK",2.80,210[220],200,40/60,-,22,4,14+52,-,-,,
"Oil Dive EX",2.93,240[250],150,-250/0,-,22,4,14+52,-,-,,
"Oil Dive (charge)",L2.71/M3.30/H3.73,-,-,-,-,98,4,14+52,-,-,,
"Super Combo",3.51,400[450],0,-1000/0,-,1+18,3,17+51,-,-,,
"Ultra Combo 1",1.52,480[530],0,0/0,-,1+0,3,51,-,-,,
"Ultra Combo 2",-,401[450],0,0/0,-,0+1,30,42,-,-,,
